,Close,ma7,ma25,after_close_price,ma_action,cash
891,3158.94,3162.4371428571426,3169.5588000000002,3160.49,1,9156.051557081637
895,3160.49,3161.3528571428574,3164.3752000000004,3144.3,1,9109.14855320909
900,3144.3,3144.7400000000002,3156.4648,3159.26,1,9152.488203482922
906,3159.26,3155.2400000000002,3150.55,3110.48,-1,9293.805592544253
910,3110.48,3113.0785714285716,3140.8256,3030.03,1,9053.428975456156
917,3030.03,3037.952857142857,3080.2148,3014.72,1,9007.684214640509
923,3014.72,2967.06,3011.9436000000005,3063.36,1,9153.01570817892
931,3063.36,3073.587142857143,3027.5636,3007.38,-1,9320.278393382048
936,3007.38,2999.6814285714286,3040.3452,3048.01,1,9446.196272440602
941,3048.01,3045.14,3025.6376,3081.39,-1,9342.747126416125
949,3081.39,3077.772857142857,3049.3996,3076.86,-1,9356.48204620319
960,3076.86,3079.3728571428574,3073.3832,3064.21,-1,9394.949671601964
965,3064.21,3061.9214285714284,3070.216,3123.35,1,9576.274490585825
971,3123.35,3114.2785714285715,3085.5636,3106.76,-1,9627.139873523638
979,3106.76,3112.531428571429,3114.928,3108.45,1,9632.376797645955
982,3108.45,3107.535714285714,3113.4851999999996,3109.25,1,9634.855814981964
986,3109.25,3114.3614285714284,3112.0004000000004,3110.92,-1,9629.680866293045
988,3110.92,3107.0442857142853,3110.0352000000003,3114.34,1,9640.267287211205
990,3114.34,3114.585714285714,3111.9103999999998,3110.97,-1,9650.69893589372
994,3110.97,3131.588571428572,3117.5868,3112.42,-1,9646.200816832126
1001,3112.42,3123.1957142857145,3116.6351999999997,3103.71,-1,9673.195377050415
1005,3103.71,3101.06,3112.1156,3129.05,1,9752.17143178957
1011,3129.05,3126.7371428571428,3113.8876,3102.9,-1,9833.671977623384
1019,3102.9,3098.3185714285714,3114.4112,3125.79,1,9906.214680117115
1022,3125.79,3134.324285714286,3115.8259999999996,3231.07,-1,9572.562617271327
1028,3231.07,3222.0614285714287,3167.4900000000007,3224.89,-1,9590.87185754614
1038,3224.89,3227.7314285714288,3232.4256,3240.44,1,9637.117793805934
1043,3240.44,3239.632857142857,3235.2527999999998,3232.37,-1,9661.11809641793
1047,3232.37,3231.5299999999997,3236.9064000000003,3240.35,1,9684.969240442102
1055,3240.35,3242.3214285714284,3235.3888,3246.13,-1,9667.69359978299
1057,3246.13,3246.2485714285713,3238.9748000000004,3236.3,-1,9696.969515438206
1060,3236.3,3233.2514285714283,3240.5752,3228.38,1,9673.238712186878
1068,3228.38,3226.632857142857,3231.454,3234.73,1,9692.265303177524
1071,3234.73,3235.2628571428572,3231.0428,3223.59,-1,9725.644236033557
1076,3223.59,3225.1542857142854,3231.2612,3235.44,1,9761.395955140824
1084,3235.44,3239.3814285714284,3231.8536,3214.02,-1,9826.020581577759
1087,3214.02,3214.0171428571425,3227.7056,3257.58,1,9959.193821487133
1094,3257.58,3252.4828571428575,3232.4136,3317.89,-1,9774.811863293047
1108,3317.89,3309.5714285714284,3281.5503999999996,3352.99,-1,9671.404005768662
1112,3352.99,3358.152857142857,3317.7868,3361.33,-1,9647.348011146514
1122,3361.33,3355.592857142857,3365.6391999999996,3380.1,1,9701.219758987167
1137,3380.1,3378.977142857143,3375.1676,3378.41,-1,9706.070225361738
1142,3378.41,3389.2785714285715,3380.428,3366.17,-1,9741.235376885214
1149,3366.17,3364.012857142857,3373.92,3338.92,1,9662.377605584263
1160,3338.92,3337.658571428571,3356.3228000000004,3335.82,1,9653.40662976654
1179,3335.82,3340.5342857142855,3337.3896000000004,3340.83,-1,9638.908375299834
1182,3340.83,3343.2342857142858,3339.9596,3338.52,-1,9645.573149726231
1184,3338.52,3338.2671428571434,3340.2564,3352.46,1,9685.848268553491
1188,3352.46,3353.3142857142857,3345.5612,3365.63,-1,9647.797815543805
1192,3365.63,3363.1699999999996,3354.2404000000006,3367.89,-1,9641.319378204249
1194,3367.89,3369.4557142857147,3360.0759999999996,3336.0,-1,9732.611455727842
1199,3336.0,3339.11,3355.8672,3361.71,1,9807.619081785026
1204,3361.71,3360.2914285714287,3347.886,3374.18,-1,9771.238486805132
1211,3374.18,3387.804285714286,3371.4763999999996,3300.14,-1,9985.649839359843
1216,3300.14,3295.4885714285715,3348.1236000000004,3250.32,1,9834.903181643229
1245,3250.32,3251.2714285714287,3262.7596000000003,3269.31,1,9892.363619821439
1260,3269.31,3269.2971428571427,3262.9336000000003,3274.27,-1,9877.355522224601
1266,3274.27,3276.1528571428576,3269.52,3307.07,-1,9778.409112451134
1274,3307.07,3303.257142857143,3287.5924,3250.0,-1,9947.154802154584
1282,3250.0,3252.058571428571,3277.9095999999995,3205.68,1,9811.506217283355
1294,3205.68,3210.105714285714,3243.7080000000005,3282.71,1,10047.2690894095
1310,3282.71,3280.792857142857,3243.0652,3285.08,-1,10040.015318061467
1323,3285.08,3278.937142857143,3285.1848,3307.4,1,10108.230747183174
1327,3307.4,3308.64,3291.3228000000004,3310.79,-1,10097.87007044829
1332,3310.79,3303.882857142857,3305.7076,3323.36,1,10136.208420747022
1337,3323.36,3325.7757142857145,3311.8652,3308.54,-1,10181.409244249582
1343,3308.54,3304.5442857142857,3316.4604000000004,3313.04,1,10195.257147433198
1349,3313.04,3313.277142857143,3309.7551999999996,3298.56,-1,10239.816622566257
1352,3298.56,3301.3757142857144,3308.8108,3315.58,1,10292.652308112702
1358,3315.58,3316.2757142857145,3309.6020000000003,3304.57,-1,10326.83097426231
1363,3304.57,3301.901428571429,3309.06,3309.36,1,10341.799796338015
1368,3309.36,3311.1899999999996,3305.5876000000003,3314.42,-1,10325.987220199586
1378,3314.42,3316.6885714285713,3313.9404000000004,3326.5,-1,10288.352301987648
1386,3326.5,3331.094285714286,3320.202,3312.69,-1,10331.064505592172
1392,3312.69,3317.477142857143,3323.6532,3278.02,1,10222.941497882763
1396,3278.02,3283.227142857143,3308.1412,3350.99,1,10450.508151259039
1414,3350.99,3352.4185714285713,3356.9084,3347.81,1,10440.590898172339
1418,3347.81,3345.5299999999997,3352.6004000000003,3362.56,1,10486.590735602791
1426,3362.56,3362.138571428571,3349.7936,3334.6,-1,10573.787715572651
1432,3334.6,3335.6342857142854,3350.446,3326.21,1,10547.18360145592
1441,3326.21,3325.094285714286,3333.2807999999995,3309.09,1,10492.8972565598
1453,3309.09,3305.3299999999995,3318.3536,3321.51,1,10532.280224060374
1459,3321.51,3318.597142857143,3312.7948000000006,3334.78,-1,10490.201964903159
1470,3334.78,3333.574285714286,3322.5544,3313.91,-1,10555.852627018061
1477,3313.91,3316.555714285714,3327.8356000000003,3310.0,1,10543.3980390022
1486,3310.0,3302.52,3317.4348,3301.17,1,10515.2716931761
1495,3301.17,3300.9914285714285,3318.688,3347.5,1,10662.84741255585
1500,3347.5,3350.0642857142857,3329.4356,3271.88,-1,10903.72105597257
1553,3271.88,3272.3928571428573,3303.864,3270.21,1,10898.155688610846
1579,3270.21,3263.077142857143,3269.5195999999996,3249.84,1,10830.271537019053
1585,3249.84,3254.172857142857,3262.6256,3239.05,1,10794.31326526277
1598,3239.05,3238.6385714285716,3256.3688,3157.87,1,10523.776425487516
1624,3157.87,3160.89,3193.6967999999997,3200.69,1,10666.476443708461
1660,3200.69,3198.631428571429,3185.4764,3163.35,-1,10790.91405885022
1667,3163.35,3160.7014285714286,3182.0804,3097.31,1,10565.636437200239
1706,3097.31,3097.792857142857,3112.5851999999995,3163.17,1,10790.300037470799
1719,3163.17,3157.442857142857,3129.7524,3107.7,-1,10979.520959229196
1744,3107.7,3111.332857142857,3145.0692,3097.29,1,10942.742372755092
1752,3097.29,3103.9385714285713,3105.0959999999995,3061.06,1,10814.741586207847
1759,3061.06,3060.7900000000004,3089.2988,3123.37,1,11034.883154238729
1817,3123.37,3115.19,3117.7032,3119.67,1,11021.811034166281
1819,3119.67,3125.4742857142855,3119.04,3111.87,-1,11049.368476481173
1825,3111.87,3094.9900000000002,3113.8412,3103.5,1,11019.648978511095
1831,3103.5,3102.078571428571,3105.2608,3127.5,1,11104.866176991607
1834,3127.5,3122.3842857142854,3113.0348,3128.22,-1,11102.309661037192
1836,3128.22,3125.6485714285714,3115.4327999999996,3123.87,-1,11117.748168247526
1841,3123.87,3127.594285714286,3124.1444,3118.55,-1,11136.681869155398
1847,3118.55,3120.4185714285713,3124.9760000000006,3143.81,1,11226.88808166277
1851,3143.81,3142.6171428571433,3130.4931999999994,3125.21,-1,11293.31070844967
1859,3125.21,3127.0271428571427,3136.6856,3146.26,1,11369.377337704302
1865,3146.26,3143.632857142857,3131.8508,3128.08,-1,11435.072887340844
1875,3128.08,3132.4528571428573,3140.4395999999997,3191.85,1,11668.191796712
1881,3191.85,3186.3771428571426,3153.4012,3247.78,-1,11463.732950842017
1886,3247.78,3246.048571428571,3207.4748,3188.5,-1,11672.974367848685
1908,3188.5,3191.074285714286,3210.018,3074.92,1,11257.162409655097
1913,3074.92,3089.4485714285715,3157.4968,2851.25,1,10438.315247398012
1941,2851.25,2862.154285714286,2855.3376000000003,2838.56,-1,10484.772843361005
1948,2838.56,2847.324285714286,2856.8168,2880.13,1,10638.319714696654
1953,2880.13,2886.014285714286,2862.9776,2794.03,-1,10956.346792445012
1972,2794.03,2767.191428571429,2819.7339999999995,2826.65,1,11084.260963863915
1984,2826.65,2835.402857142857,2802.8356,2732.65,-1,11452.867098547447
2002,2732.65,2727.7985714285714,2761.3912,2593.04,1,10867.744680517984
2009,2593.04,2610.554285714286,2687.4036000000006,2591.77,1,10862.421956709537
2026,2591.77,2591.7000000000003,2600.2648,2601.18,1,10901.860406345359
2029,2601.18,2600.9842857142858,2599.3984,2565.04,-1,11053.327523225129
2032,2565.04,2563.5057142857145,2587.3196,2489.3,1,10726.94702755681
2040,2489.3,2508.8857142857146,2544.0984,2331.73,1,10047.942872520402
2057,2331.73,2363.7114285714283,2438.8376,2505.39,1,10796.282414080484
2069,2505.39,2490.6385714285716,2451.7012,2400.82,-1,11246.897788150147
2078,2400.82,2402.638571428571,2443.906,2405.81,1,11270.2739762704
2099,2405.81,2408.3942857142856,2366.2608,2502.92,-1,10815.351806258795
2168,2502.92,2502.2228571428573,2494.8932,2428.93,-1,11135.069528017817
2173,2428.93,2425.7042857142856,2468.1468,2536.11,1,11626.420349990023
2207,2536.11,2533.058571428571,2467.8936,2462.35,-1,11964.562136038447
2225,2462.35,2461.187142857143,2453.0647999999997,2423.97,-1,12151.050610374408
2230,2423.97,2428.2085714285713,2446.4244,2400.01,1,12030.942204484663
2241,2400.01,2390.9514285714286,2418.4844,2337.45,1,11717.336951042984
2247,2337.45,2343.7585714285715,2378.2028000000005,2243.57,1,11246.72855601254
2251,2243.57,2255.225714285714,2322.4168000000004,2391.3,1,11987.280091993023
2281,2391.3,2360.4914285714285,2287.8848000000003,2386.81,-1,12009.787885918107
2310,2386.81,2390.638571428571,2417.5736,2430.55,1,12229.875836835885
2351,2430.55,2419.8542857142857,2427.7972,2436.97,1,12262.179555283348
2356,2436.97,2442.0728571428567,2428.8492,2410.55,-1,12395.117910638803
2365,2410.55,2397.9557142857147,2422.034,2438.84,1,12540.585909930238
2386,2438.84,2451.792857142857,2476.9512,2463.35,1,12666.61703975113
2399,2463.35,2458.988571428571,2433.518,2520.0,-1,12375.321099141025
2445,2520.0,2521.0614285714287,2500.9804,2535.23,-1,12300.528979958517
2448,2535.23,2535.98,2514.6803999999997,2649.43,-1,11746.44891246513
2457,2649.43,2634.5071428571428,2576.114,2565.74,-1,12117.494876874156
2474,2565.74,2572.41,2601.4688,2617.56,1,12362.23073651684
2478,2617.56,2646.3814285714284,2603.0524,2505.8,-1,12890.051648783652
2482,2505.8,2505.5299999999997,2582.3816,2366.92,1,12175.64093245231
2512,2366.92,2372.2714285714287,2381.9248000000002,2394.68,1,12318.44077033651
2518,2394.68,2397.402857142857,2385.2960000000003,2381.49,-1,12386.291269677024
2522,2381.49,2382.078571428571,2389.7524000000003,2411.96,1,12544.767809568883
2527,2411.96,2412.562857142857,2396.2019999999998,2447.71,-1,12358.829630995404
2535,2447.71,2443.2657142857142,2423.2308000000003,2457.25,-1,12310.660838663103
2545,2457.25,2454.7114285714283,2440.6020000000003,2504.24,-1,12075.244030113392
2553,2504.24,2490.1457142857143,2469.6892,2429.36,-1,12436.309372482689
2570,2429.36,2430.384285714286,2453.9804,2336.32,1,11960.021698356257
2582,2336.32,2329.832857142857,2368.5328,2404.62,1,12309.661080802895
