,portfolio,position,tradeprice,alltradeqty,askprice,cash,pnl,roi(%),tot_roi(%),portfolio_price,basic_return(%),pos_value
2022/1/1 16:15,BTC,0,47145.05,0,47145.05,9987.86067,0,0,-0.121393297,47185.84,1.866310431,9987.86067
2022/1/1 16:30,BTC,0,47116.97,0,47116.97,9987.86067,0,0,-0.121393297,47116.97,1.717631657,9987.86067
2022/1/1 16:45,BTC,0,47116.97,0,47116.97,9987.86067,0,0,-0.121393297,47137.96,1.762945545,9987.86067
2022/1/1 17:00,BTC,0,47116.97,0,47116.97,9987.86067,0,0,-0.121393297,47071.59,1.619663853,9987.86067
2022/1/1 17:15,BTC,0,47116.97,0,47116.97,9987.86067,0,0,-0.121393297,47068.5,1.612993061,9987.86067
2022/1/1 17:30,BTC,0,47116.97,0,47116.97,9987.86067,0,0,-0.121393297,47221.55,1.943402328,9987.86067
2022/1/1 17:45,BTC,0,47116.97,0,47116.97,9987.86067,0,0,-0.121393297,47055.6,1.585144126,9987.86067
2022/1/1 18:00,BTC,0,47116.97,0,47116.97,9987.86067,0,0,-0.121393297,46752.45,0.930694147,9987.86067
2022/1/1 18:15,BTC,0,47116.97,0,47116.97,9987.86067,0,0,-0.121393297,46937.99,1.331243872,9987.86067
2022/1/1 18:30,BTC,0,47116.97,0,47116.97,9987.86067,0,0,-0.121393297,46940.31,1.336252362,9987.86067
2022/1/1 18:45,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,46995,1.454318895,9987.86067
2022/1/1 19:00,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,46896.12,1.240853568,9987.86067
2022/1/1 19:15,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,46952.84,1.36330253,9987.86067
2022/1/1 19:30,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,46798.81,1.030777607,9987.86067
2022/1/1 19:45,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,46946.96,1.350608596,9987.86067
2022/1/1 20:00,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,47043.85,1.559777848,9987.86067
2022/1/1 20:15,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,47099.99,1.680974687,9987.86067
2022/1/1 20:30,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,47038.06,1.547278209,9987.86067
2022/1/1 20:45,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,47150.84,1.790751304,9987.86067
2022/1/1 21:00,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,46983.83,1.430204739,9987.86067
2022/1/1 21:15,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,47011.6,1.490155509,9987.86067
2022/1/1 21:30,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,47018.73,1.505547983,9987.86067
2022/1/1 21:45,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,47000.09,1.465307351,9987.86067
2022/1/1 22:00,BTC,0,46995,0,46995,9987.86067,0,0,-0.121393297,46898.82,1.246682415,9987.86067
2022/1/1 22:15,BTC,-1,46882.39,0.212998166,46882.39,0,0,0,-0.121393297,46882.39,1.211212802,9987.86067
2022/1/1 22:30,BTC,0,46882.38,0.212998166,46882.38,9983.868056,-1.995042212,-0.019978666,-0.161319441,46951.76,1.360970991,9983.868056
2022/1/1 22:45,BTC,0,46882.38,0.212998166,46882.38,9983.868056,0,0,-0.161319441,46959.99,1.37873818,9983.868056
2022/1/1 23:00,BTC,0,46996.75,0,46996.75,9983.868056,0,0,-0.161319441,47328.24,2.173728135,9983.868056
2022/1/1 23:15,BTC,0,46996.75,0,46996.75,9983.868056,0,0,-0.161319441,47195.34,1.886819336,9983.868056
2022/1/1 23:30,BTC,0,46996.75,0,46996.75,9983.868056,0,0,-0.161319441,47270.3,2.048645398,9983.868056
2022/1/1 23:45,BTC,0,47391.24,0,47391.24,9983.868056,0,0,-0.161319441,47391.24,2.309734563,9983.868056
2022/1/2 0:00,BTC,0,47391.24,0,47391.24,9983.868056,0,0,-0.161319441,47450.57,2.437818077,9983.868056
2022/1/2 0:15,BTC,0,47391.24,0,47391.24,9983.868056,0,0,-0.161319441,47336.36,2.191257852,9983.868056
2022/1/2 0:30,BTC,0,47391.24,0,47391.24,9983.868056,0,0,-0.161319441,47332.51,2.182946348,9983.868056
2022/1/2 0:45,BTC,0,47280.87,0,47280.87,9983.868056,0,0,-0.161319441,47280.87,2.071464254,9983.868056
2022/1/2 1:00,BTC,0,47280.87,0,47280.87,9983.868056,0,0,-0.161319441,47439.44,2.413790275,9983.868056
2022/1/2 1:15,BTC,1,47770,0.208956904,47770,0,0,0,-0.161319441,47770,3.127413844,9983.868056
2022/1/2 1:30,BTC,0,47793.11,0.208956904,47793.11,9982.705596,0.83431393,0.008358292,-0.172944038,47689.99,2.954685681,9982.705596
2022/1/2 1:45,BTC,-1,47658.02,0.209423494,47658.02,0,0,0,-0.172944038,47658.02,2.885667815,9982.705596
2022/1/2 2:00,BTC,-1,47658.02,0.209423494,47658.02,0,0,0,-0.172944038,47499.08,2.542543027,9982.705596
2022/1/2 2:15,BTC,0,47451.24,0.209423494,47451.24,10022.02616,41.31710915,0.413969678,0.220261643,47513.4,2.573457504,10022.02616
2022/1/2 2:30,BTC,0,47553.92,0,47553.92,10022.02616,0,0,0.220261643,47578.52,2.714040656,10022.02616
2022/1/2 2:45,BTC,0,47553.92,0,47553.92,10022.02616,0,0,0.220261643,47452.23,2.441401738,10022.02616
2022/1/2 3:00,BTC,0,47553.92,0,47553.92,10022.02616,0,0,0.220261643,47360.23,2.242789177,10022.02616
