,StartTime,open,high,low,close,volume,EndTime,Amount,ma7,ma25,diff,abs_diff,min_time
0,2023-01-27 17:45:00,1579.12,1579.71,1577.13,1579.71,6948.061,2023-01-27 17:49:59,10966686.03699,,,1.0,0.0,45
1,2023-01-27 17:50:00,1579.7,1579.95,1578.58,1578.88,4552.312,2023-01-27 17:54:59,7189976.42195,,,1.0,0.0,50
2,2023-01-27 17:55:00,1578.89,1578.89,1576.36,1578.01,4906.453,2023-01-27 17:59:59,7740380.26414,,,1.0,0.0,55
3,2023-01-27 18:00:00,1578.02,1578.53,1577.63,1578.21,2608.869,2023-01-27 18:04:59,4116992.85251,,,1.0,0.0,0
4,2023-01-27 18:05:00,1578.22,1578.85,1577.67,1578.77,4539.461,2023-01-27 18:09:59,7164819.69131,,,1.0,0.0,5
5,2023-01-27 18:10:00,1578.76,1579.16,1578.0,1578.0,5383.257,2023-01-27 18:14:59,8498408.5469,,,1.0,0.0,10
6,2023-01-27 18:15:00,1578.0,1578.46,1577.3,1577.4,5249.049,2023-01-27 18:19:59,8281747.29657,1578.672857142857,,1.0,0.0,15
7,2023-01-27 18:20:00,1577.4,1580.37,1577.29,1579.88,5154.429,2023-01-27 18:24:59,8139136.82155,1578.427142857143,,1.0,0.0,20
8,2023-01-27 18:25:00,1579.88,1581.34,1579.73,1579.97,8183.065,2023-01-27 18:29:59,12934655.40499,1578.452857142857,,1.0,0.0,25
9,2023-01-27 18:30:00,1579.96,1581.71,1579.82,1580.57,6274.799,2023-01-27 18:34:59,9919890.60702,1578.6057142857142,,1.0,0.0,30
10,2023-01-27 18:35:00,1580.57,1580.71,1580.1,1580.11,2337.487,2023-01-27 18:39:59,3694133.58102,1578.97,,1.0,0.0,35
11,2023-01-27 18:40:00,1580.1,1581.14,1580.1,1580.3,3652.741,2023-01-27 18:44:59,5773155.38639,1579.2385714285715,,1.0,0.0,40
12,2023-01-27 18:45:00,1580.31,1580.31,1575.55,1575.78,10061.031,2023-01-27 18:49:59,15877864.00717,1579.4599999999998,,1.0,0.0,45
13,2023-01-27 18:50:00,1575.78,1577.23,1572.33,1576.23,26708.681,2023-01-27 18:54:59,42064254.8502,1579.142857142857,,1.0,0.0,50
14,2023-01-27 18:55:00,1576.25,1576.75,1574.27,1576.47,9173.205,2023-01-27 18:59:59,14451922.06311,1578.9785714285713,,1.0,0.0,55
15,2023-01-27 19:00:00,1576.47,1577.17,1575.67,1577.17,6067.037,2023-01-27 19:04:59,9564820.60542,1578.4914285714287,,1.0,0.0,0
16,2023-01-27 19:05:00,1577.17,1577.36,1575.65,1575.66,3753.883,2023-01-27 19:09:59,5919266.24046,1578.0928571428572,,1.0,0.0,5
17,2023-01-27 19:10:00,1575.65,1576.0,1573.51,1573.87,10490.633,2023-01-27 19:14:59,16517450.93082,1577.3899999999999,,1.0,0.0,10
18,2023-01-27 19:15:00,1573.87,1575.29,1573.87,1575.24,3933.968,2023-01-27 19:19:59,6194210.69341,1576.5,,1.0,0.0,15
19,2023-01-27 19:20:00,1575.2,1577.27,1572.81,1576.94,8168.982,2023-01-27 19:24:59,12864862.36289,1575.77,,1.0,0.0,20
20,2023-01-27 19:25:00,1576.93,1577.76,1576.5,1577.06,5170.963,2023-01-27 19:29:59,8155309.97612,1575.9342857142858,,1.0,0.0,25
21,2023-01-27 19:30:00,1577.06,1577.53,1576.0,1577.32,3608.378,2023-01-27 19:34:59,5689312.19073,1576.05,,1.0,0.0,30
22,2023-01-27 19:35:00,1577.32,1578.2,1576.55,1577.47,5381.682,2023-01-27 19:39:59,8490342.5168,1576.1714285714286,,1.0,0.0,35
23,2023-01-27 19:40:00,1577.47,1577.47,1575.17,1577.09,4118.086,2023-01-27 19:44:59,6490780.54928,1576.2142857142858,,1.0,0.0,40
24,2023-01-27 19:45:00,1577.09,1578.32,1576.75,1576.76,5913.466,2023-01-27 19:49:59,9329064.99662,1576.42,1577.8076,1.3876000000000204,0.0,45
25,2023-01-27 19:50:00,1576.76,1577.08,1575.71,1576.4,3733.359,2023-01-27 19:54:59,5885010.87885,1576.8328571428572,1577.7131999999997,0.8803428571425229,0.0,50
26,2023-01-27 19:55:00,1576.4,1578.54,1575.86,1578.54,3468.017,2023-01-27 19:59:59,5469367.84917,1577.0042857142857,1577.5811999999999,0.5769142857141105,0.0,55
27,2023-01-27 20:00:00,1578.53,1579.0,1578.15,1579.0,7682.775,2023-01-27 20:04:59,12127562.83514,1577.2328571428573,1577.5667999999998,0.3339428571425742,0.0,0
28,2023-01-27 20:05:00,1579.0,1580.09,1578.79,1579.75,6449.851,2023-01-27 20:09:59,10187603.89968,1577.51,1577.6059999999998,0.09599999999977626,0.0,5
