"secu_code","trade_dt","crncy_code","preclose","open","high","low","close","change","pctchange","volume","amount","adj_preclose","adj_open","adj_high","adj_low","adj_close","adj_factor","avg_price","up_limit_price","down_limit_price"
"600519.SH","20221101","CNY","1350","1359","1469.4","1359","1462.01","112.01","8.297","11876648","16859775303","10198.43055","10266.420087","11100.425074","10266.420087","11044.59811","7.554393","1419.5735","1485","1215"
"600519.SH","20221102","CNY","1462.01","1460","1506","1436","1471.96","9.95","0.6806","7977715","11717204099","11044.59811","11029.41378","11376.915858","10848.108348","11119.76432","7.554393","1468.7419","1608.21","1315.81"
"600519.SH","20221103","CNY","1471.96","1443.57","1462.5","1428.1","1439.5","-32.46","-2.2052","4515970","6509550786","11119.76432","10905.295103","11048.299762","10788.428643","10874.548724","7.554393","1441.4513","1619.16","1324.76"
"600519.SH","20221114","CNY","1528.15","1543.5","1563.53","1528","1533","4.85","0.3174","5737015","8858049580","11544.245663","11660.205596","11811.520087","11543.112504","11580.884469","7.554393","1544.0172","1680.97","1375.34"
"600519.SH","20221115","CNY","1533","1532","1598.97","1521","1588","55","3.5877","5631760","8858377894","11580.884469","11573.330076","12079.247775","11490.231753","11996.376084","7.554393","1572.9324","1686.3","1379.7"
"600519.SH","20221116","CNY","1588","1581","1598","1568","1585.25","-2.75","-0.1732","2684776","4250886805","11996.376084","11943.495333","12071.920014","11845.288224","11975.601503","7.554393","1583.3302","1746.8","1429.2"
"600519.SH","20221117","CNY","1585.25","1590.5","1596.3","1552.88","1567","-18.25","-1.1512","3057988","4793001162","11975.601503","12015.262067","12059.077546","11731.065802","11837.733831","7.554393","1567.3708","1743.78","1426.73"
"600519.SH","20221118","CNY","1567","1576","1584","1556","1567.13","0.13","0.0083","2360871","3703793426","11837.733831","11905.723368","11966.158512","11754.635508","11838.715902","7.554393","1568.825","1723.7","1410.3"
"600519.SH","20221121","CNY","1567.13","1541.35","1541.35","1498.53","1519.98","-47.15","-3.0087","3909600","5917086070","11838.715902","11643.963651","11643.963651","11320.484542","11482.526272","7.554393","1513.4761","1723.84","1410.42"
