,tradingtime,close,low,high,avgprice,volatility,vol_rate,same_percentage
0,1640995200000,3690.09,3676.22,3695.41,3685.81,,0.005220035797639982,
1,1640996100000,3689.51,3685.83,3693.35,3689.59,-0.00015719009192753067,0.0020402460232837602,-0.077
2,1640997000000,3700.98,3694.47,3702.45,3698.46,0.003103991537564091,0.0021599850587499746,1.4393
3,1640997900000,3722.93,3711.42,3730.0,3720.71,0.0059133432279169585,0.005006170145119638,1.1847
4,1640998800000,3714.95,3714.16,3723.45,3718.8,-0.0021457735435066218,0.0025012385034570302,-0.857
5,1640999700000,3743.85,3726.09,3746.61,3736.35,0.007749274581245911,0.00550711335474988,1.4126
6,1641000600000,3738.65,3734.11,3741.63,3737.87,-0.0013899100132668577,0.002013866758076217,-0.6897
7,1641001500000,3727.19,3725.6,3734.22,3729.91,-0.0030699851592563,0.0023137212797938295,-1.3248
8,1641002400000,3730.18,3724.49,3730.18,3727.34,0.0008018913263581149,0.0015277259436862645,0.5251
9,1641003300000,3735.78,3726.54,3738.47,3732.5,0.0015001422590529645,0.00320136104804989,0.4689
10,1641004200000,3726.39,3725.16,3730.16,3727.66,-0.0025166955339168844,0.0013422242266104007,-1.8727
11,1641005100000,3730.7,3728.28,3732.1,3730.19,0.0011559470195272458,0.001024601156565416,1.1288
12,1641006000000,3725.82,3721.84,3730.1,3725.97,-0.0013089217749652326,0.0022193323732346807,-0.5894
13,1641006900000,3735.39,3727.27,3737.0,3732.14,0.0025652689705909473,0.0026104897149924794,0.9839
14,1641007800000,3730.95,3726.81,3731.69,3729.25,-0.0011893378880078365,0.0013094308537328465,-0.9077
15,1641008700000,3727.11,3726.89,3731.9,3729.4,-0.0010297585000196962,0.001344284376517745,-0.7656
16,1641009600000,3726.39,3723.5,3727.14,3725.32,-0.00019319782712550758,0.0009775748623606479,-0.1976
17,1641010500000,3714.39,3712.14,3717.79,3714.96,-0.0032254710940686437,0.0015220331129752894,-2.1158
18,1641011400000,3713.36,3712.8,3717.31,3715.06,-0.00027733836130768507,0.0012147166558930628,-0.2283
19,1641012300000,3721.53,3714.67,3721.53,3718.1,0.002197746917166798,0.0018467320111881075,1.1914
20,1641013200000,3706.88,3706.57,3711.55,3709.06,-0.0039443215959594526,0.0013435602187467169,-2.9299
21,1641014100000,3715.17,3711.38,3716.18,3713.78,0.0022338850984365403,0.00129331946607454,1.7292
22,1641015000000,3758.51,3750.68,3765.27,3757.98,0.01159816471430668,0.0038899612870199928,2.9989
23,1641015900000,3740.34,3735.91,3744.45,3740.18,-0.0048460858823703825,0.0022859223054088463,-2.1148
24,1641016800000,3729.47,3729.15,3738.57,3733.86,-0.00291038397836388,0.0025260448091388313,-1.1505
25,1641017700000,3731.64,3731.51,3741.0,3736.26,0.0005816829027277554,0.00254320636953935,0.2288
26,1641018600000,3728.53,3725.37,3731.32,3728.34,-0.0008337612092382317,0.0015971567924797465,-0.5218
