1720067700000,58947.87000000,58973.95000000,58888.00000000,58969.30000000,56.56201000,1720067999999,3333923.96154570,4220,34.57265000,2037745.72216430,0
1720068000000,58969.29000000,58969.30000000,58901.10000000,58939.98000000,65.51878000,1720068299999,3860767.93410370,4119,36.64222000,2158848.82741720,0
1720068300000,58939.97000000,58971.10000000,58912.60000000,58951.11000000,36.52657000,1720068599999,2152965.72500230,3006,14.94373000,880762.47067680,0
1720068600000,58951.11000000,59029.99000000,58951.11000000,59026.17000000,51.94676000,1720068899999,3064824.40172570,3616,40.12611000,2367393.98222400,0
1720068900000,59026.16000000,59044.66000000,58967.62000000,58968.36000000,44.72809000,1720069199999,2639420.23874490,2624,17.59817000,1038594.95245830,0
1720069200000,58968.37000000,58996.00000000,58926.00000000,58941.99000000,52.82829000,1720069499999,3115060.43072880,4341,20.44542000,1205521.59210240,0
1720069500000,58941.98000000,58941.99000000,58888.00000000,58893.56000000,43.78587000,1720069799999,2579543.13097100,2786,13.76950000,811202.92892710,0
1720069800000,58893.55000000,58893.55000000,58865.27000000,58875.99000000,60.82861000,1720070099999,3581304.97194210,2852,36.64003000,2157173.50899870,0
1720070100000,58876.00000000,58920.49000000,58870.00000000,58902.00000000,38.46885000,1720070399999,2265880.64390900,3796,16.35900000,963501.72603860,0
1720070400000,58902.00000000,58919.38000000,58891.10000000,58894.02000000,30.42447000,1720070699999,1792189.68211420,2220,16.40222000,966155.38538660,0
1720070700000,58894.01000000,58951.10000000,58894.01000000,58914.01000000,29.80688000,1720070999999,1756462.54122530,3075,15.38342000,906419.63758190,0
1720071000000,58914.01000000,59023.61000000,58914.01000000,59023.61000000,60.73031000,1720071299999,3581348.92201580,3995,32.26231000,1902743.03624420,0
1720071300000,59023.61000000,59036.00000000,58873.07000000,58895.99000000,69.31020000,1720071599999,4085655.81164270,4099,26.18720000,1544177.11442890,0
1720071600000,58896.00000000,59000.00000000,58895.99000000,58946.28000000,42.02161000,1720071899999,2478019.43065250,3403,17.87611000,1054084.36900160,0
1720071900000,58946.28000000,58968.00000000,58872.06000000,58938.67000000,112.48682000,1720072199999,6626457.74906690,4881,60.80981000,3581865.37747600,0
1720072200000,58938.67000000,58951.10000000,58868.00000000,58868.01000000,37.94092000,1720072499999,2235752.82753240,3284,16.36867000,964483.30261860,0
1720072500000,58868.02000000,58935.19000000,58868.01000000,58902.00000000,44.16415000,1720072799999,2601397.65332210,2951,29.14765000,1716752.00939700,0
1720072800000,58902.00000000,58917.99000000,58853.03000000,58904.06000000,54.39907000,1720073099999,3203738.97412060,3876,30.21047000,1779141.63857860,0
1720073100000,58904.06000000,58904.07000000,58816.66000000,58856.00000000,78.63144000,1720073399999,4628448.21901560,4539,38.92008000,2290939.22350790,0
