,portfolio,position,tradeprice,alltradeqty,askprice,cash,pnl,roi(%),tot_roi(%),portfolio_price,basic_return(%),pos_value,same_percentage
2022-01-01 08:00:00,ETH ,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,3690.09,0.0,10000.0,
2022-01-01 08:15:00,ETH ,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,3689.51,-0.015717773821232742,10000.0,-0.077
2022-01-01 08:30:00,ETH ,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,3700.98,0.2951147532986966,10000.0,1.4393
2022-01-01 08:45:00,ETH ,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,3722.93,0.8899511936023157,10000.0,1.1847
2022-01-01 09:00:00,ETH ,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,3714.95,0.6736963055101548,10000.0,-0.857
2022-01-01 09:15:00,ETH ,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,3743.85,1.4568750355682316,10000.0,1.4126
2022-01-01 09:30:00,ETH ,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,3738.65,1.3159570633778566,10000.0,-0.6897
2022-01-01 09:45:00,ETH ,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,3727.19,1.0053955323582868,10000.0,-1.3248
2022-01-01 10:00:00,ETH ,-1,3730.18,2.6797634430510056,3730.18,0.0,0.0,0.0,0.0,3730.18,1.0864233663677496,10000.0,0.5251
2022-01-01 10:15:00,ETH ,-1,3730.18,2.6797634430510056,3730.18,0.0,0.0,0.0,0.0,3735.78,1.2381811825727842,10000.0,0.4689
2022-01-01 10:30:00,ETH ,-1,3730.18,2.6797634430510056,3730.18,0.0,0.0,0.0,0.0,3726.39,0.9837158443289926,10000.0,-1.8727
2022-01-01 10:45:00,ETH ,-1,3730.18,2.6797634430510056,3730.18,0.0,0.0,0.0,0.0,3730.7,1.100515163586787,10000.0,1.1288
2022-01-01 11:00:00,ETH ,1,3725.82,2.6838893360662346,3725.82,10003.690042119146,7.690042119146186,0.07693119366892943,0.03690042119145801,3725.82,0.968269066608132,10003.690042119146,-0.5894
2022-01-01 11:15:00,ETH ,1,3725.82,2.6838893360662346,3725.82,10003.690042119146,0.0,0.0,0.03690042119145801,3735.39,1.2276123346584968,10003.690042119146,0.9839
2022-01-01 11:30:00,ETH ,1,3725.82,2.6838893360662346,3725.82,10003.690042119146,0.0,0.0,0.03690042119145801,3730.95,1.10729006609594,10003.690042119146,-0.9077
2022-01-01 11:45:00,ETH ,-1,3727.11,2.681742654019675,3727.11,9999.149523032485,-0.5390430698129847,-0.005390598579642507,-0.008504769675146235,3727.11,1.00322756355536,9999.149523032485,-0.7656
2022-01-01 12:00:00,ETH ,-1,3727.11,2.681742654019675,3727.11,9999.149523032485,0.0,0.0,-0.008504769675146235,3726.39,0.9837158443289926,9999.149523032485,-0.1976
2022-01-01 12:15:00,ETH ,-1,3727.11,2.681742654019675,3727.11,9999.149523032485,0.0,0.0,-0.008504769675146235,3714.39,0.6585205238896539,9999.149523032485,-2.1158
2022-01-01 12:30:00,ETH ,-1,3727.11,2.681742654019675,3727.11,9999.149523032485,0.0,0.0,-0.008504769675146235,3713.36,0.6306079255519508,9999.149523032485,-0.2283
2022-01-01 12:45:00,ETH ,-1,3727.11,2.681742654019675,3727.11,9999.149523032485,0.0,0.0,-0.008504769675146235,3721.53,0.8520117395510692,9999.149523032485,1.1914
2022-01-01 13:00:00,ETH ,-1,3727.11,2.681742654019675,3727.11,9999.149523032485,0.0,0.0,-0.008504769675146235,3706.88,0.45500245251470733,9999.149523032485,-2.9299
2022-01-01 13:15:00,ETH ,-1,3727.11,2.681742654019675,3727.11,9999.149523032485,0.0,0.0,-0.008504769675146235,3715.17,0.6796582197182163,9999.149523032485,1.7292
2022-01-01 13:30:00,ETH ,-1,3727.11,2.681742654019675,3727.11,9999.149523032485,0.0,0.0,-0.008504769675146235,3758.51,1.8541553187049655,9999.149523032485,2.9989
2022-01-01 13:45:00,ETH ,-1,3740.34,2.67011586017615,3740.34,9991.137611495858,-4.012251727414381,-0.04014198668673584,-0.08862388504141563,3740.34,1.3617554043397315,9991.137611495858,-2.1148
2022-01-01 14:00:00,ETH ,-1,3740.34,2.67011586017615,3740.34,9991.137611495858,0.0,0.0,-0.08862388504141563,3729.47,1.0671826432417544,9991.137611495858,-1.1505
2022-01-01 14:15:00,ETH ,-1,3740.34,2.67011586017615,3740.34,9991.137611495858,0.0,0.0,-0.08862388504141563,3731.64,1.1259887970212035,9991.137611495858,0.2288
2022-01-01 14:30:00,ETH ,-1,3740.34,2.67011586017615,3740.34,9991.137611495858,0.0,0.0,-0.08862388504141563,3728.53,1.0417090098073503,9991.137611495858,-0.5218
2022-01-01 14:45:00,ETH ,-1,3740.34,2.67011586017615,3740.34,9991.137611495858,0.0,0.0,-0.08862388504141563,3717.71,0.7484912292112087,9991.137611495858,-0.864
2022-01-01 15:00:00,ETH ,-1,3740.34,2.67011586017615,3740.34,9991.137611495858,0.0,0.0,-0.08862388504141563,3713.3,0.6289819489497556,9991.137611495858,-0.5315
2022-01-01 15:15:00,ETH ,-1,3740.34,2.67011586017615,3740.34,9991.137611495858,0.0,0.0,-0.08862388504141563,3713.66,0.6387378085629268,9991.137611495858,0.0425
2022-01-01 15:30:00,ETH ,-1,3740.34,2.67011586017615,3740.34,9991.137611495858,0.0,0.0,-0.08862388504141563,3710.37,0.5495800915424758,9991.137611495858,-0.498
2022-01-01 15:45:00,ETH ,-1,3740.34,2.67011586017615,3740.34,9991.137611495858,0.0,0.0,-0.08862388504141563,3717.57,0.7446972838060865,9991.137611495858,0.9392
2022-01-01 16:00:00,ETH ,-1,3740.34,2.67011586017615,3740.34,9991.137611495858,0.0,0.0,-0.08862388504141563,3715.43,0.6867041183277288,9991.137611495858,-0.2185
2022-01-01 16:15:00,ETH ,-1,3740.34,2.67011586017615,3740.34,9991.137611495858,0.0,0.0,-0.08862388504141563,3722.23,0.8709814665766924,9991.137611495858,0.7189
