1674617100000,1545.18000000,1545.64000000,1544.25000000,1544.78000000,950.87390000,1674617399999,1469029.04648800,1371,417.42510000,644872.02245500,0
1674617400000,1544.78000000,1546.00000000,1544.13000000,1545.40000000,1224.42560000,1674617699999,1892157.40001100,1266,842.94240000,1302665.04667000,0
1674617700000,1545.40000000,1545.62000000,1544.76000000,1544.90000000,938.68080000,1674617999999,1450350.51533300,1108,439.27440000,678683.00779900,0
1674618000000,1544.90000000,1544.93000000,1544.45000000,1544.47000000,524.83550000,1674618299999,810721.28927800,1025,252.54090000,390093.99810900,0
1674618300000,1544.46000000,1544.78000000,1543.87000000,1544.64000000,1107.34600000,1674618599999,1709983.62206800,1112,726.31800000,1121615.69385200,0
1674618600000,1544.63000000,1545.83000000,1544.63000000,1545.83000000,445.01890000,1674618899999,687611.61254300,691,277.78000000,429227.17525400,0
1674618900000,1545.82000000,1546.88000000,1545.72000000,1546.63000000,682.20540000,1674619199999,1054871.44777400,1328,481.01000000,743755.38122600,0
1674619200000,1546.63000000,1547.15000000,1545.94000000,1547.01000000,766.54890000,1674619499999,1185387.71375900,1039,434.88710000,672555.87781200,0
1674619500000,1547.01000000,1547.68000000,1545.93000000,1547.22000000,927.47730000,1674619799999,1434809.50100200,1348,590.28570000,913214.60686000,0
1674619800000,1547.22000000,1547.33000000,1546.49000000,1547.10000000,593.93270000,1674620099999,918824.91026600,946,251.23580000,388658.93602700,0
1674620100000,1547.10000000,1547.28000000,1545.92000000,1546.39000000,790.75580000,1674620399999,1222812.08699600,1228,366.23040000,566355.31206200,0
1674620400000,1546.38000000,1548.11000000,1546.23000000,1548.11000000,923.88030000,1674620699999,1429325.04354000,1225,715.35920000,1106788.19344700,0
1674620700000,1548.11000000,1549.01000000,1548.10000000,1548.27000000,966.88660000,1674620999999,1497257.26992000,1604,577.57650000,894382.87565300,0
1674621000000,1548.27000000,1548.76000000,1547.46000000,1547.89000000,864.76400000,1674621299999,1338701.46230000,1243,539.45850000,835064.84703600,0
1674621300000,1547.88000000,1548.28000000,1546.95000000,1548.23000000,886.34960000,1674621599999,1371618.65050700,1393,464.90790000,719395.13977200,0
1674621600000,1548.22000000,1548.23000000,1546.96000000,1547.30000000,643.82270000,1674621899999,996232.84600500,1169,325.59080000,503790.00194400,0
1674621900000,1547.29000000,1548.62000000,1547.29000000,1548.38000000,534.84820000,1674622199999,827964.19897900,1020,293.00060000,453545.07772800,0
1674622200000,1548.38000000,1548.78000000,1546.78000000,1547.24000000,710.67950000,1674622499999,1099936.87032600,1150,331.43650000,512988.67390900,0
1674622500000,1547.25000000,1547.31000000,1545.83000000,1546.17000000,745.46270000,1674622799999,1152779.22907400,1259,373.52050000,577597.81623500,0
1674622800000,1546.17000000,1547.28000000,1545.44000000,1547.27000000,626.09940000,1674623099999,968142.64518500,1046,370.93440000,573641.04972000,0
1674623100000,1547.27000000,1547.44000000,1546.52000000,1546.87000000,431.50190000,1674623399999,667547.35318900,816,275.71210000,426544.69649300,0
1674623400000,1546.87000000,1546.88000000,1545.38000000,1546.07000000,756.02200000,1674623699999,1168672.18058800,1152,272.20920000,420728.16956500,0
1674623700000,1546.07000000,1546.78000000,1545.20000000,1546.78000000,603.35230000,1674623999999,932818.94691000,875,463.86780000,717168.79938900,0
1674624000000,1546.78000000,1549.06000000,1546.74000000,1548.48000000,831.44630000,1674624299999,1287162.67598000,1239,496.72970000,768949.94035000,0
1674624300000,1548.48000000,1549.64000000,1547.97000000,1548.85000000,1073.14880000,1674624599999,1662078.60154100,1714,622.02240000,963349.85202700,0
1674624600000,1548.85000000,1551.74000000,1547.20000000,1547.50000000,2241.49450000,1674624899999,3473180.26442600,2615,1098.58940000,1702130.53391400,0
1674624900000,1547.51000000,1547.73000000,1546.66000000,1547.31000000,637.29710000,1674625199999,985971.92860600,1345,306.55590000,474271.65572200,0
1674625200000,1547.32000000,1548.18000000,1547.16000000,1547.45000000,1174.50120000,1674625499999,1817656.80381400,1156,966.82270000,1496241.07786600,0
1674625500000,1547.46000000,1548.29000000,1545.37000000,1547.94000000,1086.15670000,1674625799999,1680234.66647900,1599,473.35840000,732279.49158800,0
1674625800000,1547.94000000,1548.48000000,1546.48000000,1548.01000000,742.59160000,1674626099999,1149341.38626300,1209,430.05380000,665557.03637800,0
1674626100000,1548.02000000,1549.21000000,1547.86000000,1549.14000000,610.93490000,1674626399999,946151.17529800,1088,271.61990000,420656.84949800,0
1674626400000,1549.14000000,1549.25000000,1548.47000000,1548.63000000,711.46850000,1674626699999,1102007.23909400,1779,225.20650000,348837.42739800,0
