trade_dt,trade_time,event_type,chain,nft identifier,quantity,payment quantity,payment symbol,event_timestamp
2023-12-27,12:24:23,sale,ethereum,11452.0,1.0,0.145,ETH,1703651063.0
2023-12-27,12:23:59,sale,ethereum,3141.0,1.0,0.155,ETH,1703651039.0
2023-12-27,12:23:11,sale,ethereum,12907.0,1.0,0.152,ETH,1703650991.0
2023-12-27,12:22:59,sale,ethereum,12858.0,1.0,0.147,ETH,1703650979.0
2023-12-27,12:22:35,sale,ethereum,3451.0,1.0,0.15,ETH,1703650955.0
2023-12-27,12:22:11,sale,ethereum,2392.0,1.0,0.15,ETH,1703650931.0
2023-12-27,12:21:59,sale,ethereum,19123.0,1.0,0.14,WETH,1703650919.0
2023-12-27,12:21:47,sale,ethereum,20864.0,1.0,0.152,ETH,1703650907.0
2023-12-27,12:21:35,sale,ethereum,13210.0,1.0,0.15,WETH,1703650895.0
2023-12-27,12:19:23,sale,ethereum,6489.0,1.0,0.155,ETH,1703650763.0
2023-12-27,12:15:11,sale,ethereum,3634.0,1.0,0.157,ETH,1703650511.0
2023-12-27,12:14:47,sale,ethereum,2784.0,1.0,0.1527,ETH,1703650487.0
2023-12-27,12:14:23,sale,ethereum,12907.0,1.0,0.14,ETH,1703650463.0
2023-12-27,12:14:11,sale,ethereum,19762.0,1.0,0.1486,ETH,1703650451.0
2023-12-27,12:13:47,sale,ethereum,13292.0,1.0,0.151,ETH,1703650427.0
2023-12-27,12:13:35,sale,ethereum,2784.0,1.0,0.15,ETH,1703650415.0
2023-12-27,12:13:23,sale,ethereum,4024.0,1.0,0.15,ETH,1703650403.0
2023-12-27,12:13:11,sale,ethereum,12135.0,1.0,0.1479,ETH,1703650391.0
2023-12-27,12:12:59,sale,ethereum,18208.0,1.0,0.14,WETH,1703650379.0
2023-12-27,12:11:23,sale,ethereum,5723.0,1.0,0.144,ETH,1703650283.0
2023-12-27,12:11:11,sale,ethereum,13486.0,1.0,0.145,ETH,1703650271.0
