,price,qty,quoteQty,isBuyerMaker
401,0.774,10.8,8.3592,1
402,0.774,539.45,417.5343,1
404,0.774,9.08,7.02792,1
408,0.775,20.87,16.17425,-1
412,0.774,3231.37,2501.08038,1
413,0.774,625.39,484.05186,1
414,0.774,12.9,9.9846,1
420,0.774,516.79,399.99546,1
432,0.774,12.9,9.9846,-1
435,0.773,2259.08,1746.26884,1
443,0.773,625.39,483.42647,1
452,0.773,15.13,11.69549,1
453,0.773,154.92,119.75316,1
459,0.773,12.91,9.97943,1
465,0.773,1000.0,773.0,1
467,0.774,1000.0,774.0,-1
470,0.773,323.54,250.09642,1
475,0.773,323.54,250.09642,1
486,0.774,9.08,7.02792,-1
487,0.774,12.9,9.9846,-1
489,0.774,10.8,8.3592,-1
492,0.774,516.79,399.99546,-1
493,0.774,625.39,484.05186,-1
494,0.774,12.91,9.99234,-1
495,0.774,89.46,69.24204,-1
496,0.774,89.46,69.24204,-1
497,0.774,89.46,69.24204,-1
498,0.774,89.46,69.24204,-1
499,0.774,89.46,69.24204,-1
500,0.774,89.46,69.24204,-1
501,0.774,89.46,69.24204,-1
502,0.774,89.46,69.24204,-1
503,0.774,89.46,69.24204,-1
504,0.774,89.42,69.21108,-1
505,0.775,10.33,8.00575,-1
511,0.775,1596.29,1237.12475,-1
512,0.775,1596.29,1237.12475,-1
515,0.775,11.11,8.61025,-1
518,0.774,629.72,487.40328,1
520,0.774,1000.0,774.0,1
521,0.774,527.73,408.46302,1
522,0.774,986.18,763.30332,1
523,0.774,2259.08,1748.52792,1
524,0.774,1183.36,915.92064,1
533,0.775,11.51,8.92025,-1
535,0.775,6.89,5.33975,-1
539,0.775,300.0,232.5,-1
543,0.774,12.9,9.9846,1
544,0.774,625.39,484.05186,1
549,0.774,12.9,9.9846,1
550,0.774,11.11,8.59914,-1
561,0.773,468.0,361.764,1
566,0.773,15.13,11.69549,1
567,0.773,154.92,119.75316,1
570,0.773,194.04,149.99292,1
572,0.773,12.14,9.38422,1
576,0.772,527.73,407.40756,1
582,0.772,6.48,5.00256,1
583,0.772,11.51,8.88572,1
584,0.772,10.53,8.12916,1
586,0.772,8658.0,6683.976,1
587,0.772,3239.72,2501.06384,1
588,0.772,1000.0,772.0,1
591,0.772,539.45,416.4554,1
592,0.772,300.0,231.6,1
597,0.772,625.39,482.80108,1
606,0.772,500.0,386.0,1
608,0.772,388.34,299.79848,1
611,0.772,8658.0,6683.976,1
612,0.772,1000.0,772.0,1
614,0.772,300.0,231.6,1
615,0.772,3239.72,2501.06384,1
617,0.771,527.73,406.87983,1
618,0.771,1000.0,771.0,1
620,0.772,20.87,16.11164,-1
631,0.771,64.85,49.99935,1
632,0.771,7.32,5.64372,1
641,0.771,61.0,47.031,1
643,0.771,62.0,47.802,1
644,0.771,62.0,47.802,1
645,0.771,62.0,47.802,1
649,0.771,1000.0,771.0,1
653,0.77,527.73,406.3521,1
