,price,qty
314,4.396,1.5
315,4.398,21.22
316,4.4,6035.94
317,4.401,8.03
318,4.403,28.77
319,4.41,151.53
320,4.411,1110.31
321,4.414,4.28
322,4.416,15.23
323,4.417,664.52
324,4.42,890.16
325,4.423,40.0
326,4.424,1.2
327,4.425,83.34
328,4.427,2.03
329,4.43,143.99
330,4.435,50.0
331,4.439,17.55
332,4.44,1021.92
333,4.442,68.57
334,4.444,303.45
335,4.45,2373.53
336,4.451,13.48
337,4.454,225.0
338,4.455,7.11
339,4.458,64.6
340,4.46,739.89
341,4.466,8.03
342,4.47,176.3
343,4.476,10.0
344,4.478,40.12
345,4.479,363.99
346,4.48,1114.6
347,4.483,31.88
348,4.484,359.19
349,4.485,80.0
350,4.486,268.67
351,4.488,168.0
352,4.49,4211.31
353,4.493,1.2
354,4.494,3.99
355,4.495,2.79
356,4.497,431.59
357,4.498,203.75
358,4.499,1910.15
359,4.5,45074.04
360,4.501,11.75
361,4.51,47.68
362,4.512,4.86
363,4.519,1.35
364,4.52,277.54
365,4.524,23.54
366,4.525,21.66
367,4.527,14.52
368,4.53,1117.14
369,4.532,8.03
370,4.535,2823.55
371,4.54,101.06
372,4.544,21.0
373,4.55,1169.25
374,4.553,1.27
375,4.554,80.27
376,4.555,1427.82
377,4.556,131.72
378,4.559,3.06
379,4.56,100.0
380,4.565,317.84
381,4.567,87.56
382,4.57,796.05
383,4.58,2016.79
384,4.59,213.35
385,4.593,542.38
386,4.599,5.61
387,4.6,18635.19
388,4.611,205.24
389,4.612,5.14
390,4.62,10.59
391,4.623,5.91
392,4.624,30.34
393,4.63,11.36
394,4.636,5.0
395,4.642,367.07
396,4.646,30.8
397,4.647,126.76
398,4.65,1671.59
399,4.654,2.0
400,4.655,22.14
401,4.66,424.72
402,4.666,1493.48
403,4.669,8.03
404,4.67,2272.36
405,4.675,26.07
406,4.677,530.26
407,4.678,999.0
408,4.68,14374.03
409,4.686,3.96
410,4.688,324.75
411,4.689,5.0
412,4.69,192.05
413,4.693,542.39
414,4.698,293.12
415,4.699,2.65
416,4.7,12967.43
417,4.71,153.92
418,4.712,1567.25
419,4.713,31.0
420,4.714,411.38
421,4.719,1.08
422,4.72,46.51
423,4.724,1.14
424,4.73,16.22
425,4.732,214.39
426,4.734,10.0
427,4.739,8.03
428,4.74,302.28
429,4.742,6.11
430,4.743,2.14
431,4.75,3603.55
432,4.751,2.0
433,4.754,22.4
434,4.755,1.68
435,4.759,18.93
436,4.76,751.19
437,4.767,5.09
438,4.768,7848.41
439,4.769,1.05
440,4.77,2125.91
441,4.776,42.0
442,4.777,5696.7
443,4.778,512.6
444,4.78,769.04
445,4.782,1.4
446,4.785,4962.11
447,4.787,106.95
448,4.788,244.34
449,4.789,1113.24
450,4.79,323.96
451,4.792,1.12
452,4.793,1.1
453,4.8,10833.9
454,4.801,8.52
455,4.803,359.75
456,4.808,12.86
